eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,fav_color,bible_offer,trick_or_treat_cutoff,states_lived,rock_collect,fav_dining,work_per_week,exercise_per_week,car,rainy_days,why_class,born_state,fav_band,states_visited,meals_per_week_campus,sibling,first_gen,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,ai_opinion,fav_season,major
Order in,Salty,rarely/never,Dinner,2,5,20,Red,0,13,1,No,Fairhaven,13,0,No,Yes,Prerequisite,Washington,My Chemical Romance,4,14,2,No,3,5,My Neighbor Totoro,Don't know,0,14,"Vegetarian (no meat, dairy allowed)",No,No,No,Cats,vanilla,5,somewhat negative,Fall,SLHS and Spanish
No preference,Sweet,around once a month,No preference,2,1,20,Blue,7,14,1,Yes,VU Dining Hall,0,0,No,Yes,Prerequisite,Washington,Kendrick Lamar,1,10,0,No,0,1,Robot,No,4,16,None of the above,No,No,No,No preference,no preference,3,very negative,Winter,Geology
Eat out,Salty,around once a month,Breakfast,12,5,19,Green,1,19,2,Yes,Ridgeway,0,4,No,Yes,Prerequisite,Oregon,Hozier,13,12,1,No,5,1,Fantastic Mr. Fox,Don't know,10,17,None of the above,No,No,No,Cats,vanilla,5,very negative,Fall,Undecided
Order in,Sweet,around once a month,Breakfast,3,18,19,Green,1,17,3,Yes,Subway,0,1,No,Yes,Prerequisite,California,Panic! at the Disco,21,9,0,Yes,0,1,Tangled,,1,14,None of the above,No,No,No,No preference,no preference,6,somewhat negative,Spring,Biology
Eat out,Sweet,around once a month,Dinner,0,2,18,Purple,5,12,1,No,viking commons,0,2,No,Yes,Prerequisite,WA,Drake,9,10,1,No,2,2,Fantastic Mr Fox,No,5,17,None of the above,"No, but want to learn",No,No,Dogs,chocolate,6,very negative,Winter,Kinesiology 
Order in,Sweet,around once a year,Lunch,6,2,19,Burgundy ,3,17,2,Yes,Zoes,0,0,No,Yes,Major,California  ,Maroon 5,4,10,2,Yes,0,0,Book of Life,Yes,2,17,None of the above,No,"Yes, but once or only a few times",No,Cats,chocolate,3,somewhat negative,Fall,Public Health pre- major
Eat out,Salty,around once a month,Breakfast,3,4,21,Purple,1,21,2,No,None,19,0,No,Yes,Prerequisite,Missouri,Car seat headrest,16,0,1,No,1,0,Home Alone,Don't know,7,14,None of the above,No,No,No,Cats,vanilla,7,very negative,Fall,English
Order in,Sweet,rarely/never,Breakfast,10,2,19,Green ,3,0,1,Yes,Nowhere ,5,7,Yes,Yes,Major,Colorado ,I don’t know,7,0,1,No,2,3,How to train your deagon,Yes,0,15,"Vegetarian (no meat, dairy allowed)",No,"Yes, but once or only a few times",No,No preference,vanilla,6,somewhat negative,Fall,Kinesiology 
Order in,Salty,rarely/never,Dinner,3,5,18,green,2,16,1,No,ridgeway dining,0,4,No,Somewhat,Major,Washington,the smiths,4,15,1,No,4,6,robots,No,4,14,None of the above,No,"Yes, but once or only a few times",No,Dogs,chocolate,3,somewhat negative,Summer,psychology
Order in,Salty,rarely/never,Breakfast,15,7,20,turquoise,4,11,3,Yes,not sure,0,5,Yes,Yes,Major,South Dakota,Noah Kahan ,19,0,0,No,0,2,Mamma Mia ,No,14,14,"Pescatarian (no meat, but fish and seafood allowed)","No, but want to learn","No, but want to learn","No, but want to learn",Dogs,vanilla,7,very negative,Fall,Biology and Environmental Science
